loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.2408,0.24730750918388367,4.926666666666667e-05,0.044444444444444446,100,,,,,,,,,
1.0068,0.2373850792646408,4.852592592592593e-05,0.08888888888888889,200,,,,,,,,,
,,,0.08888888888888889,200,1.0427144765853882,128.6412,3.887,0.972,,,,,
0.9694,0.22253189980983734,4.778518518518519e-05,0.13333333333333333,300,,,,,,,,,
0.9807,0.23446273803710938,4.704444444444445e-05,0.17777777777777778,400,,,,,,,,,
,,,0.17777777777777778,400,1.033847689628601,127.9093,3.909,0.977,,,,,
0.952,0.242213636636734,4.630370370370371e-05,0.2222222222222222,500,,,,,,,,,
0.9502,0.2565629184246063,4.5562962962962965e-05,0.26666666666666666,600,,,,,,,,,
,,,0.26666666666666666,600,1.0276737213134766,124.6927,4.01,1.002,,,,,
0.9674,0.25496718287467957,4.4822222222222224e-05,0.3111111111111111,700,,,,,,,,,
0.9563,0.22738192975521088,4.408148148148148e-05,0.35555555555555557,800,,,,,,,,,
,,,0.35555555555555557,800,1.024255633354187,130.4322,3.833,0.958,,,,,
0.9562,0.2792051136493683,4.334074074074074e-05,0.4,900,,,,,,,,,
0.954,0.2447821944952011,4.26e-05,0.4444444444444444,1000,,,,,,,,,
,,,0.4444444444444444,1000,1.0221575498580933,129.5222,3.86,0.965,,,,,
0.9643,0.23120412230491638,4.185925925925926e-05,0.4888888888888889,1100,,,,,,,,,
0.9459,0.2684312164783478,4.111851851851852e-05,0.5333333333333333,1200,,,,,,,,,
,,,0.5333333333333333,1200,1.0169752836227417,128.5393,3.89,0.972,,,,,
0.9666,0.27624985575675964,4.037777777777778e-05,0.5777777777777777,1300,,,,,,,,,
0.9442,0.2699008882045746,3.963703703703704e-05,0.6222222222222222,1400,,,,,,,,,
,,,0.6222222222222222,1400,1.0144683122634888,129.567,3.859,0.965,,,,,
0.9492,0.26671501994132996,3.88962962962963e-05,0.6666666666666666,1500,,,,,,,,,
0.9483,0.27609431743621826,3.8155555555555555e-05,0.7111111111111111,1600,,,,,,,,,
,,,0.7111111111111111,1600,1.0144894123077393,128.0785,3.904,0.976,,,,,
0.9327,0.2868012487888336,3.741481481481482e-05,0.7555555555555555,1700,,,,,,,,,
0.956,0.30024489760398865,3.667407407407408e-05,0.8,1800,,,,,,,,,
,,,0.8,1800,1.0140584707260132,128.2924,3.897,0.974,,,,,
0.971,0.2878848910331726,3.593333333333334e-05,0.8444444444444444,1900,,,,,,,,,
0.9526,0.25747960805892944,3.5192592592592595e-05,0.8888888888888888,2000,,,,,,,,,
,,,0.8888888888888888,2000,1.0130186080932617,124.8135,4.006,1.001,,,,,
0.953,0.2842998206615448,3.4451851851851854e-05,0.9333333333333333,2100,,,,,,,,,
0.9279,0.2503851652145386,3.371111111111111e-05,0.9777777777777777,2200,,,,,,,,,
,,,0.9777777777777777,2200,1.006364345550537,128.0603,3.904,0.976,,,,,
0.9496,0.2605994641780853,3.297037037037037e-05,1.0222222222222221,2300,,,,,,,,,
0.9303,0.26092803478240967,3.222962962962963e-05,1.0666666666666667,2400,,,,,,,,,
,,,1.0666666666666667,2400,1.0082286596298218,130.0197,3.846,0.961,,,,,
0.9525,0.2853168547153473,3.148888888888889e-05,1.1111111111111112,2500,,,,,,,,,
0.9342,0.3222760856151581,3.0748148148148145e-05,1.1555555555555554,2600,,,,,,,,,
,,,1.1555555555555554,2600,1.007665753364563,127.8337,3.911,0.978,,,,,
0.9493,0.3295077085494995,3.0007407407407407e-05,1.2,2700,,,,,,,,,
0.9374,0.3228001296520233,2.926666666666667e-05,1.2444444444444445,2800,,,,,,,,,
,,,1.2444444444444445,2800,1.0085560083389282,137.4749,3.637,0.909,,,,,
0.9313,0.2936657667160034,2.8525925925925927e-05,1.2888888888888888,2900,,,,,,,,,
0.944,0.2819881737232208,2.7785185185185185e-05,1.3333333333333333,3000,,,,,,,,,
,,,1.3333333333333333,3000,1.0048660039901733,129.776,3.853,0.963,,,,,
0.921,0.29310381412506104,2.7044444444444444e-05,1.3777777777777778,3100,,,,,,,,,
0.9369,0.30210983753204346,2.6303703703703702e-05,1.4222222222222223,3200,,,,,,,,,
,,,1.4222222222222223,3200,1.0047168731689453,131.0083,3.817,0.954,,,,,
0.9415,0.30186542868614197,2.5562962962962967e-05,1.4666666666666668,3300,,,,,,,,,
0.9442,0.28920426964759827,2.4822222222222225e-05,1.511111111111111,3400,,,,,,,,,
,,,1.511111111111111,3400,1.0023003816604614,134.899,3.706,0.927,,,,,
0.9433,0.284164160490036,2.4081481481481484e-05,1.5555555555555556,3500,,,,,,,,,
0.9195,0.32338693737983704,2.3340740740740742e-05,1.6,3600,,,,,,,,,
,,,1.6,3600,1.0007809400558472,134.3278,3.722,0.931,,,,,
0.9018,0.29906055331230164,2.26e-05,1.6444444444444444,3700,,,,,,,,,
0.9327,0.2800430655479431,2.185925925925926e-05,1.6888888888888889,3800,,,,,,,,,
,,,1.6888888888888889,3800,1.0017098188400269,134.3953,3.72,0.93,,,,,
0.9156,0.31837427616119385,2.111851851851852e-05,1.7333333333333334,3900,,,,,,,,,
0.924,0.3381418287754059,2.037777777777778e-05,1.7777777777777777,4000,,,,,,,,,
,,,1.7777777777777777,4000,1.0012938976287842,141.2667,3.539,0.885,,,,,
0.9206,0.34604591131210327,1.9637037037037037e-05,1.8222222222222222,4100,,,,,,,,,
0.9162,0.3508249819278717,1.88962962962963e-05,1.8666666666666667,4200,,,,,,,,,
,,,1.8666666666666667,4200,1.00089693069458,135.5132,3.69,0.922,,,,,
0.9301,0.30951011180877686,1.8155555555555557e-05,1.911111111111111,4300,,,,,,,,,
0.933,0.3351114094257355,1.7414814814814815e-05,1.9555555555555557,4400,,,,,,,,,
,,,1.9555555555555557,4400,1.0014338493347168,139.9684,3.572,0.893,,,,,
0.9317,0.35910356044769287,1.6674074074074074e-05,2.0,4500,,,,,,,,,
0.933,0.3533085882663727,1.5933333333333332e-05,2.0444444444444443,4600,,,,,,,,,
,,,2.0444444444444443,4600,1.000495433807373,135.2357,3.697,0.924,,,,,
0.9139,0.31151282787323,1.5192592592592594e-05,2.088888888888889,4700,,,,,,,,,
0.9203,0.3289150297641754,1.4451851851851852e-05,2.1333333333333333,4800,,,,,,,,,
,,,2.1333333333333333,4800,1.00095534324646,135.6675,3.685,0.921,,,,,
0.8969,0.3425562083721161,1.371111111111111e-05,2.1777777777777776,4900,,,,,,,,,
0.8947,0.35002610087394714,1.2970370370370372e-05,2.2222222222222223,5000,,,,,,,,,
,,,2.2222222222222223,5000,1.0011701583862305,138.4412,3.612,0.903,,,,,
0.9258,0.37714821100234985,1.222962962962963e-05,2.2666666666666666,5100,,,,,,,,,
0.9266,0.3976803719997406,1.1488888888888889e-05,2.311111111111111,5200,,,,,,,,,
,,,2.311111111111111,5200,1.0014967918395996,133.2882,3.751,0.938,,,,,
0.917,0.3208521604537964,1.0748148148148149e-05,2.3555555555555556,5300,,,,,,,,,
0.9097,0.3792745769023895,1.0007407407407409e-05,2.4,5400,,,,,,,,,
,,,2.4,5400,1.000945806503296,137.1365,3.646,0.912,,,,,
0.9215,0.3515971004962921,9.266666666666667e-06,2.4444444444444446,5500,,,,,,,,,
0.9077,0.3524378538131714,8.525925925925925e-06,2.488888888888889,5600,,,,,,,,,
,,,2.488888888888889,5600,1.0008291006088257,142.3813,3.512,0.878,,,,,
0.9051,0.46777579188346863,7.785185185185185e-06,2.533333333333333,5700,,,,,,,,,
0.9157,0.34819772839546204,7.0444444444444455e-06,2.5777777777777775,5800,,,,,,,,,
,,,2.5777777777777775,5800,1.000594139099121,134.2505,3.724,0.931,,,,,
0.9338,0.35168156027793884,6.303703703703703e-06,2.6222222222222222,5900,,,,,,,,,
0.9246,0.349174827337265,5.562962962962964e-06,2.6666666666666665,6000,,,,,,,,,
,,,2.6666666666666665,6000,1.0008463859558105,133.5299,3.744,0.936,,,,,
0.9171,0.3394806385040283,4.822222222222222e-06,2.7111111111111112,6100,,,,,,,,,
0.9136,0.4111208915710449,4.081481481481482e-06,2.7555555555555555,6200,,,,,,,,,
,,,2.7555555555555555,6200,0.9996506571769714,134.9061,3.706,0.927,,,,,
0.905,0.3039224445819855,3.340740740740741e-06,2.8,6300,,,,,,,,,
0.9254,0.39214012026786804,2.6e-06,2.8444444444444446,6400,,,,,,,,,
,,,2.8444444444444446,6400,0.999075710773468,130.3159,3.837,0.959,,,,,
0.9246,0.37921449542045593,1.8592592592592593e-06,2.888888888888889,6500,,,,,,,,,
0.9205,0.3762250542640686,1.1185185185185186e-06,2.9333333333333336,6600,,,,,,,,,
,,,2.9333333333333336,6600,0.9996663928031921,130.478,3.832,0.958,,,,,
0.9357,0.3740139305591583,3.777777777777778e-07,2.977777777777778,6700,,,,,,,,,
,,,3.0,6750,,,,,20192.8499,1.337,0.334,9.167071809355776e+17,0.9398689140037254
